"Dato (Date)","Dokumenttitel (Title of the document)"
1521-01-01,"Kong Christian den Andens saakaldte gejstlige lov: 125de capitel: Om Börn som gaa tiil Skole"
1522-01-01,"Kong Christian den Andens Ordinants eller saakaldte verdslige lov: 55. (60.) Borgerre-Børn skulle alle lære embede"
1539-06-14,"Den danske Kirkeordinants af 1539. Indledning  III. Stykke: Om Børneskoler"
1683-04-15,"Christian den Femtes Danske Lov. Anden Bog: XV. Cap: Om Dægne og Substituter, XVIII. Cap: Om Skolerne. Tredie Bog: XVIII. Cap: Om Overformyndere og Børn"
1707-07-04,"Forordning om tilsyn med skoleholderne i København"
1708-09-24,"Forordning om Betlerne i Danmark saavel paa Landet, som i Kiøbstederne, Khavn undtagen. I. Post: § 19 - 20 og 22 - 23. II. Post: § 1 - 3 og 20 - 25"
1708-09-24,"Forordning om Forhold med Betlere, fattige Børn, rette Almisselemmer og Løsgængere i Kjøbenhavn, saa og om Almisse til deres Underholdning. I, 15"
1716-06-12,"Forordning om danske Skoler og Skoleholdere i Kbhvn"
1721-03-28,"Instruction - Hvorefter Vi Frederik den Fjerde osv. allernaadigst ville, at enhver Skolemester i Rytter-Districterne sig i det ham anbetroede Skolemesters Æmbede, indtil videre skal rette og forholde"
1736-01-13,"Forordning Ang. den tilvoxende Ungdoms Confirmation og Bekræftelse i deres Daabes Naade"
1739-01-23,"Forordning om skolerne på landet i Danmark, og hvad degnene og skoleholderne derfor må nyde"
1739-01-23,"Instruks for degne og skolemestre på landet i Danmark"
1739-04-17,"Forordning om lærde skoler/latinskoler"
1740-04-29,"Placat angående Skoler i danmark"
1742-03-30,"Rescr. ang. Skoleholderes Antagelse paa, Landet"
1756-06-23,"Forordning angaaende fattige børnes antagelse i de publique latinske skoler og forsendelse til academiet, ingeniorum prøve og stipendiorum udeeling med viidere"
1775-05-11,"Forordning angaaende skole-væsenets forbedring ved de publiqve latinske skoeler, og hvad den studerende ungdom, der saavel fra publiqv som privat information kommer til academiet, skal gøre rede for"
1789-05-15,"Den store skolekommission"
1799-07-01,"Plan for Fattigvæsenets Indretning og Bestyrelse i Staden Kjøbenhavn og dens Forstæder. VI: Om Skolevæsenet for fattige Børn"
1806-10-10,"Provisorisk Reglement for Almue-Skolevæsenet paa Landet i Siælland, Fyen, Lolland og Falster"
1809-11-07,"Forordning angaaende de lærde skoler i Danmark og Norge"
1814-07-29,"Anordning for Almue-Skolevæsenet i Kiøbstæderne i Danmark Kiøbenhavn undtagen"
1814-07-29,"Anordning for Almue-Skolevæsenet paa Landet i Danmark"
1814-07-29,"Reglement for Almue- og Borgerskolevæsenet i Kjøbenhavn"
1818-02-10,"Almindeligt reglement for Skolelærer-Seminarierne i Danmark"
1818-08-27,"Cancellie-Placat ang. Sommerskolegangen paa Landet i Danmark"
1822-09-03,"Kanc. Cirkl. ang. Bestemmelser til Indførelsen af den indbyrdes Underviisning i Almue- og Borgerskolerne"
1828-02-26,"Cancell. Pl. for Danmark, ang. at de theologiske Candidater, og Enhver, der attraaer at ansættes som Skolelærer, bør, førend Embeds-Tiltrædelsen, bevise Kyndighed i den indbyrdes Undervisnings-Methode"
1828-06-25,"Placat ang. den gymnastiske Underviisning i Almue- og Borger-Skolerne i Danmark"
1838-02-10,"Kanc. Cirk. ang Indretningen af høiere Borgerskoler i Kjøbstæderne"
1841-04-10,"Resolution af 2. April 1841 [om prøver og karakterer]"
1849-06-05,"Danmarks Riges Grundlov af 5. Juni 1849, § 90"
1850-05-13,"Ministeriel bekendtgørelse angående en undervisningsplan og eksamensbestemmelser for de lærde skoler i Danmark (Den Madvigske Skoleordning)"
1850-09-18,"Ministeriel bekendtgørelse angående undervisningsplan for en adskilt realundervisning ved nogle af de lærde skoler i kongeriget Danmark og en afgangseksamen for den, der har gennemgået denne undervisning eller en tilsvarende ved andre skoler"
1855-05-02,"Lov, indeholdende nogle forandrede Bestemmelser i Anordningerne om Skoletvangen og om Udskrivningen af Skolen"
1856-03-08,"Lov om nogle forandrede Bestemmelser for Borger- og Almueskolevæsenet, i Kjøbstæderne og på Landet"
1857-02-15,"Lov om Lønningerne for de ved Skolelærer-Seminarierne ansatte Forstandere og Lærere, om undervisningen ved disse samt om en ny Skolelærerexamen"
1857-05-09,"Bekjendtgjørelse indeholdende forandrede bestemmelser angaaende Adgangen til Skolelærer-Seminarierne i Danmark, Adgangsprøven ved samme m.m."
1864-09-30,"Lov om Tillæg til Loven af 2den Mai 1855"
1865-09-30,"Bekjendtgjørelse om Ophævelse af de ved kgl. Resol. af 23de Februar 1828 (bekjendtgjort ved Canc. Plac. af 26de. s. M.) og kgl. Resol. af 25de November 1828 trufne Bestemmelser til Fremme af den indbyrdes Undervisningsmethode samt om nedlæggelse af Nor"
1866-07-28,"Danmarks Riges giennemsete Grundlov af 5te Juni 1849, §85"
1867-03-29,"Lov om Ansættelse af Lærerinder ved de offentlige Skoler"
1867-07-25,"Lov om en forandret Ordning af Skolelærerexamen"
1869-04-21,"Bekjendtgjørelse ang. den Fordannelse i practisk Skolegjerning, som Aspiranterne til almindelig Skolelærerexamen skulle have forskaffet sig, forinden der meddeles dem Tilladelse til at indstille sig til Examen"
1870-12-31,"Bekjendtgjørelse ang. Forandringer ved Prøven i practisk Færdighed ved Skolelærer- og Skolelærerindeexamen"
1871-01-21,"Bekendtgørelse angaaende Indsendelse af Andragender om Deltagelse i Feriekursus for Skolelærere i 1871"
1871-03-18,"Lov om Skolekommissionernes Omraade og Virksomhed i Landskommuerne nærmere bestemmes m. V."
1871-03-25,"Lov om Lønninger for adskillige under Ministeriet for Kirke- og Undervisningsvæsenet hørende Embeds- og Bestillingsmænd"
1871-04-01,"Lov om undervisningen i de lærde skoler i Danmark"
1871-04-25,"Bekendtgørelse angaaende Afholdelsen af Examen for Lærerinder i Kjøbenhavn i Oktober 1871"
1871-04-25,"Bekendtgørelse om foreløbig Ophøvelse af de hidtil gjældende Bestemmelser om Deltagelsen i Censuren ved Universitetets Embedsexamina"
1871-06-10,"Bekendtgørelse om Understøttelser for Skolelærere og Folkehøiskolelærere til at gjennemgaa kortere Kursus i forskellige Lærefag i anstundende Sommer"
1871-08-05,"Anordning angaaende Undervisningen i de lærde Skoler (Den Hall'ske Skoleordning)"
